frame;timestamp;x;y;z;rotX;rotY;rotZ;speed;hasSpringJoint
0;22,91324;-86;32;58;0;0;0;0;False
5;23,3773;-86;32;58;0;0;0;0;False
10;23,46223;-86;32;58;0;0;0;0;False
15;23,5435;-86;32;58;0;0;0;0;False
20;23,62924;-86;32;58;0;0;0;0;False
25;23,71059;-86;32;58;0;0;0;0;False
30;23,79356;-86;32;58;0;0;0;0;False
35;23,87892;-86;32;58;0;0;0;0;False
40;23,964;-86;32;58;0;0;0;0;False
45;24,04542;-86;32;58;0;0;0;0;False
50;24,12902;-86;32;58;0;0;0;0;False
55;24,21209;-86;32;58;0;0;0;0;False
60;24,29168;-86;32;58;0;0;0;0;False
65;24,3811;-86;32;58;0;0;0;0;False
70;24,46177;-86;32;58;0;0;0;0;False
75;24,54389;-86;32;58;0;0;0;0;False
80;24,62821;-86;32;58;0;0;0;0;False
85;24,71065;-86;32;58;0;0;0;0;False
90;24,7943;-86;32;58;0;0;0;0;False
95;24,87796;-86;32;58;0;0;0;0;False
100;24,96127;-86;32;58;0;0;0;0;False
105;25,04551;-86;32;58;0;0;0;0;False
110;25,12725;-86;32;58;0;0;0;0;False
115;25,21136;-86;32;58;0;0;0;0;False
120;25,29384;-86;32;58;0;0;0;0;False
125;25,37894;-86;32;58;0;0;0;0;False
130;25,46024;-86;32;58;0;0;0;0;False
135;25,54531;-86;32;58;0;0;0;0;False
140;25,62796;-86;32;58;0;0;0;0;False
145;25,71111;-86;32;58;0;0;0;0;False
150;25,79549;-86;32;58;0;0;0;0;False
155;25,87793;-86;32;58;0;0;0;0;False
160;25,96126;-86;32;58;0;0;0;0;False
165;26,04357;-86;32;58;0;0;0;0;False
170;26,12773;-86;32;58;0;0;0;0;False
175;26,21162;-86;32;58;0;0;0;0;False
180;26,29342;-86;32;58;0;0;0;0;False
185;26,38007;-86;32;58;0;0;0;0;False
190;26,46025;-86;32;58;0;0;0;0;False
195;26,54524;-86;32;58;0;0;0;0;False
200;26,62937;-86;32;58;0;0;0;0;False
205;26,71136;-86;32;58;0;0;0;0;False
210;26,79447;-86;32;58;0;0;0;0;False
215;26,8778;-86;32;58;0;0;0;0;False
220;26,96097;-86;32;58;0;0;0;0;False
225;27,04466;-86;32;58;0;0;0;0;False
230;27,12774;-86;32;58;0;0;0;0;False
235;27,21181;-86;32;58;0;0;0;0;False
240;27,29543;-86;32;58;0;0;0;0;False
245;27,37665;-86;32;58;0;0;0;0;False
250;27,46193;-86;32;58;0;0;0;0;False
255;27,54375;-86;32;58;0;0;0;0;False
260;27,62836;-86;32;58;0;0;0;0;False
265;27,71034;-86;32;58;0;0;0;0;False
270;27,7945;-86;32;58;0;0;0;0;False
275;27,87804;-86;32;58;0;0;0;0;False
280;27,96237;-86;32;58;0;0;0;0;False
285;28,04432;-86;32;58;0;0;0;0;False
290;28,12736;-86;32;58;0;0;0;0;False
295;28,21095;-86;32;58;0;0;0;0;False
300;28,29451;-86;32;58;0;0;0;0;False
305;28,37926;-86;32;58;0;0;0;0;False
310;28,462;-86;32;58;0;0;0;0;False
315;28,54488;-86;32;58;0;0;0;0;False
320;28,62704;-86;32;58;0;0;0;0;False
325;28,7101;-86;32;58;0;0;0;0;False
330;28,79471;-86;32;58;0;0;0;0;False
335;28,87765;-86;32;58;0;0;0;0;False
340;28,96087;-86;32;58;0;0;0;0;False
345;29,04503;-86;32;58;0;0;0;0;False
350;29,12715;-86;32;58;0;0;0;0;False
355;29,21061;-86;32;58;0;0;0;0;False
360;29,29461;-86;32;58;0;0;0;0;False
365;29,37667;-86;32;58;0;0;0;0;False
370;29,46026;-86;32;58;0;0;0;0;False
375;29,5438;-86;32;58;0;0;0;0;False
380;29,6286;-86;32;58;0;0;0;0;False
385;29,71014;-86;32;58;0;0;0;0;False
390;29,79521;-86;32;58;0;0;0;0;False
395;29,87853;-86;32;58;0;0;0;0;False
400;29,96163;-86;32;58;0;0;0;0;False
405;30,04366;-86;32;58;0;0;0;0;False
410;30,12835;-86;32;58;0;0;0;0;False
415;30,21153;-86;32;58;0;0;0;0;False
420;30,29536;-86;32;58;0;0;0;0;False
425;30,37783;-86;32;58;0;0;0;0;False
430;30,46044;-86;32;58;0;0;0;0;False
435;30,54531;-86;32;58;0;0;0;0;False
440;30,62824;-86;32;58;0;0;0;0;False
445;30,71028;-86;32;58;0;0;0;0;False
450;30,79462;-86;32;58;0;0;0;0;False
455;30,877;-86;32;58;0;0;0;0;False
460;30,9606;-86;32;58;0;0;0;0;False
465;31,04462;-86;32;58;0;0;0;0;False
470;31,12803;-86;32;58;0;0;0;0;False
475;31,21202;-86;32;58;0;0;0;0;False
480;31,29338;-86;32;58;0;0;0;0;False
485;31,37851;-86;32;58;0;0;0;0;False
490;31,46137;-86;32;58;0;0;0;0;False
495;31,54387;-86;32;58;0;0;0;0;False
500;31,62682;-86;32;58;0;0;0;0;False
505;31,71156;-86;32;58;0;0;0;0;False
510;31,79401;-86;32;58;0;0;0;0;False
515;31,87715;-86;32;58;0;0;0;0;False
520;31,96055;-86;32;58;0;0;0;0;False
525;32,04512;-86;32;58;0;0;0;0;False
530;32,12714;-86;32;58;0;0;0;0;False
535;32,21195;-86;32;58;0;0;0;0;False
540;32,29491;-86;32;58;0;0;0;0;False
545;32,37938;-86;32;58;0;0;0;0;False
550;32,46222;-86;32;58;0;0;0;0;False
555;32,54433;-86;32;58;0;0;0;0;False
560;32,62902;-86;32;58;0;0;0;0;False
565;32,71088;-86;32;58;0;0;0;0;False
570;32,79538;-86;32;58;0;0;0;0;False
575;32,87888;-86;32;58;0;0;0;0;False
580;32,96297;-86;32;58;0;0;0;0;False
585;33,04481;-86;32;58;0;0;0;0;False
590;33,12871;-86;32;58;0;0;0;0;False
595;33,2111;-86;32;58;0;0;0;0;False
600;33,29489;-86;32;58;0;0;0;0;False
605;33,37706;-86;32;58;0;0;0;0;False
610;33,46196;-86;32;58;0;0;0;0;False
615;33,54482;-86;32;58;0;0;0;0;False
620;33,62762;-86;32;58;0;0;0;0;False
625;33,7114;-86;32;58;0;0;0;0;False
630;33,7941;-86;32;58;0;0;0;0;False
635;33,87906;-86;32;58;0;0;0;0;False
640;33,96099;-86;32;58;0;0;0;0;False
645;34,04424;-86;32;58;0;0;0;0;False
650;34,12781;-86;32;58;0;0;0;0;False
655;34,21174;-86;32;58;0;0;0;0;False
660;34,29434;-86;32;58;0;0;0;0;False
665;34,37763;-86;32;58;0;0;0;0;False
670;34,46224;-86;32;58;0;0;0;0;False
675;34,54454;-86;32;58;0;0;0;0;False
680;34,62701;-86;32;58;0;0;0;0;False
685;34,71063;-86;32;58;0;0;0;0;False
690;34,79339;-86;32;58;0;0;0;0;False
695;34,87775;-86;32;58;0;0;0;0;False
700;34,96051;-86;32;58;0;0;0;0;False
705;35,04391;-86;32;58;0;0;0;0;False
710;35,12827;-86;32;58;0;0;0;0;False
715;35,21232;-86;32;58;0;0;0;0;False
720;35,29442;-86;32;58;0;0;0;0;False
725;35,3786;-86;32;58;0;0;0;0;False
730;35,46097;-86;32;58;0;0;0;0;False
735;35,54491;-86;32;58;0;0;0;0;False
740;35,62678;-86;32;58;0;0;0;0;False
745;35,71156;-86;32;58;0;0;0;0;False
750;35,79383;-86;32;58;0;0;0;0;False
755;35,87746;-86;32;58;0;0;0;0;False
760;35,96274;-86;32;58;0;0;0;0;False
765;36,04398;-86;32;58;0;0;0;0;False
770;36,12901;-86;32;58;0;0;0;0;False
775;36,21206;-86;32;58;0;0;0;0;False
780;36,2953;-86;32;58;0;0;0;0;False
