frame;timestamp;x;y;z;rotX;rotY;rotZ;speed;hasSpringJoint
0;4,041035;0;30,75;4,5;0;0;0;3,38;False
5;5,32597;0;31;4,5;0;0;0;0;False
10;5,414438;0;31;4,5;0;0;0;0;False
15;5,518988;0;31;4,5;0;0;0;0;False
20;5,601134;0;31;4,5;0;0;0;0;False
25;5,684383;0;31;4,5;0;0;0;0;False
30;5,767695;0;31;4,5;0;0;0;0;False
35;5,85548;0;31;4,5;0;0;0;0;False
40;5,942848;0;31;4,5;0;0;0;0;False
45;6,021103;0;31;4,5;0;0;0;0;False
50;6,1056;0;31;4,5;0;0;0;0;False
55;6,189258;0;31;4,5;0;0;0;0;False
60;6,272336;0;31;4,5;0;0;0;0;False
65;6,355691;0;31;4,5;0;0;0;0;False
70;6,438422;0;31;4,5;0;0;0;0;False
75;6,52322;0;31;4,5;0;0;0;0;False
80;6,606368;0;31;4,5;0;0;0;0;False
85;6,688804;0;31;4,5;0;0;0;0;False
90;6,772051;0;31;4,5;0;0;0;0;False
95;6,857145;0;31;4,5;0;0;0;0;False
100;6,938456;0;31;4,5;0;0;0;0;False
105;7,022973;0;31;4,5;0;0;0;0;False
110;7,104719;0;31;4,5;0;0;0;0;False
115;7,19011;0;31;4,5;0;0;0;0;False
120;7,272238;0;31;4,5;0;0;0;0;False
125;7,355849;0;31;4,5;0;0;0;0;False
130;7,439776;0;31;4,5;0;0;0;0;False
135;7,521483;0;31;4,5;0;0;0;0;False
140;7,604786;0;31;4,5;0;0;0;0;False
145;7,688907;0;31;4,5;0;0;0;0;False
150;7,773759;0;31;4,5;0;0;0;0;False
155;7,855768;0;31;4,5;0;0;0;0;False
160;7,939197;0;31;4,5;0;0;0;0;False
165;8,023162;0;31;4,5;0;0;0;0;False
170;8,105854;0;31;4,5;0;0;0;0;False
175;8,188495;0;31;4,5;0;0;0;0;False
180;8,273064;0;31;4,5;0;0;0;0;False
185;8,355462;0;31;4,5;0;0;0;0;False
190;8,438452;0;31;4,5;0;0;0;0;False
195;8,52217;0;31;4,5;0;0;0;0;False
200;8,605888;0;31;4,5;0;0;0;0;False
205;8,689122;0;31;4,5;0;0;0;0;False
210;8,772392;0;31;4,5;0;0;0;0;False
215;8,856636;0;31;4,5;0;0;0;0;False
220;8,939777;0;31;4,5;0;0;0;0;False
225;9,022949;0;31;4,5;0;0;0;0;False
230;9,107764;0;31;4,5;0;0;0;0;False
235;9,189346;0;31;4,5;0;0;0;0;False
240;9,273883;0;31;4,5;0;0;0;0;False
245;9,357316;0;31;4,5;0;0;0;0;False
250;9,440406;0;31;4,5;0;0;0;0;False
255;9,524716;0;31;4,5;0;0;0;0;False
260;9,606165;0;31;4,5;0;0;0;0;False
265;9,688485;0;31;4,5;0;0;0;0;False
270;9,773088;0;31;4,5;0;0;0;0;False
275;9,858678;0;31;4,5;0;0;0;0;False
280;9,938593;0;31;4,5;0;0;0;0;False
285;10,02371;0;31;4,5;0;0;0;0;False
290;10,10495;0;31;4,5;0;0;0;0;False
295;10,18936;0;31;4,5;0;0;0;0;False
300;10,27305;0;31;4,5;0;0;0;0;False
305;10,35514;0;31;4,5;0;0;0;0;False
310;10,43836;0;31;4,5;0;0;0;0;False
315;10,52435;0;31;4,5;0;0;0;0;False
320;10,60439;0;31;4,5;0;0;0;0;False
325;10,6913;0;31;4,5;0;0;0;0;False
330;10,77432;0;31;4,5;0;0;0;0;False
