frame;timestamp;x;y;z;rotX;rotY;rotZ;speed;hasSpringJoint
0;4,075853;-84;30,75;53;0;0;0;0,32;False
5;5,502663;-84;31;53;0;0;0;0;False
10;5,609298;-84;31;53;0;0;0;0;False
15;5,700782;-84;31;53;0;0;0;0;False
20;5,806739;-84;31;53;0;0;0;0;False
25;5,887226;-84;31;53;0;0;0;0;False
30;5,969204;-84;31;53;0;0;0;0;False
35;6,060921;-84;31;53;0;0;0;0;False
40;6,15829;-84;31;53;0;0;0;0;False
45;6,23811;-84;31;53;0;0;0;0;False
50;6,317288;-84;31;53;0;0;0;0;False
55;6,402729;-84;31;53;0;0;0;0;False
60;6,485524;-84;31;53;0;0;0;0;False
65;6,577533;-84;31;53;0;0;0;0;False
70;6,658228;-84;31;53;0;0;0;0;False
75;6,742651;-84;31;53;0;0;0;0;False
80;6,823797;-84;31;53;0;0;0;0;False
85;6,905862;-84;31;53;0;0;0;0;False
90;6,990302;-84;31;53;0;0;0;0;False
95;7,079445;-84;31;53;0;0;0;0;False
100;7,160186;-84;31;53;0;0;0;0;False
105;7,241346;-84;31;53;0;0;0;0;False
110;7,325214;-84;31;53;0;0;0;0;False
115;7,404873;-84;31;53;0;0;0;0;False
120;7,488425;-84;31;53;0;0;0;0;False
125;7,59077;-84;31;53;0;0;0;0;False
130;7,671008;-84;31;53;0;0;0;0;False
135;7,75898;-84;31;53;0;0;0;0;False
140;7,844202;-84;31;53;0;0;0;0;False
145;7,934003;-84;31;53;0;0;0;0;False
150;8,012064;-84;31;53;0;0;0;0;False
155;8,092078;-84;31;53;0;0;0;0;False
160;8,175272;-84;31;53;0;0;0;0;False
165;8,262548;-84;31;53;0;0;0;0;False
170;8,340803;-84;31;53;0;0;0;0;False
175;8,428547;-84;31;53;0;0;0;0;False
180;8,507297;-84;31;53;0;0;0;0;False
185;8,588783;-84;31;53;0;0;0;0;False
190;8,677847;-84;31;53;0;0;0;0;False
195;8,757247;-84;31;53;0;0;0;0;False
200;8,84217;-84;31;53;0;0;0;0;False
205;8,923037;-84;31;53;0;0;0;0;False
210;9,004966;-84;31;53;0;0;0;0;False
215;9,089949;-84;31;53;0;0;0;0;False
220;9,175783;-84;31;53;0;0;0;0;False
225;9,257345;-84;31;53;0;0;0;0;False
230;9,339965;-84;31;53;0;0;0;0;False
235;9,425616;-84;31;53;0;0;0;0;False
240;9,509586;-84;31;53;0;0;0;0;False
245;9,590692;-84;31;53;0;0;0;0;False
250;9,671886;-84;31;53;0;0;0;0;False
255;9,754719;-84;31;53;0;0;0;0;False
260;9,839112;-84;31;53;0;0;0;0;False
265;9,928838;-84;31;53;0;0;0;0;False
270;10,01245;-84;31;53;0;0;0;0;False
275;10,09478;-84;31;53;0;0;0;0;False
280;10,17697;-84;31;53;0;0;0;0;False
285;10,26409;-84;31;53;0;0;0;0;False
290;10,3422;-84;31;53;0;0;0;0;False
295;10,42282;-84;31;53;0;0;0;0;False
300;10,50741;-84;31;53;0;0;0;0;False
