frame;timestamp;x;y;z;rotX;rotY;rotZ;speed;hasSpringJoint
0;4,041035;32;22,75;50;0;0;0;2,21;False
5;5,32597;32;23;50;0;0;0;0;False
10;5,414438;32;23;50;0;0;0;0;False
15;5,518988;32;23;50;0;0;0;0;False
20;5,601134;32;23;50;0;0;0;0;False
25;5,684383;32;23;50;0;0;0;0;False
30;5,767695;32;23;50;0;0;0;0;False
35;5,85548;32;23;50;0;0;0;0;False
40;5,942848;32;23;50;0;0;0;0;False
45;6,021103;32;23;50;0;0;0;0;False
50;6,1056;32;23;50;0;0;0;0;False
55;6,189258;32;23;50;0;0;0;0;False
60;6,272336;32;23;50;0;0;0;0;False
65;6,355691;32;23;50;0;0;0;0;False
70;6,438422;32;23;50;0;0;0;0;False
75;6,52322;32;23;50;0;0;0;0;False
80;6,606368;32;23;50;0;0;0;0;False
85;6,688804;32;23;50;0;0;0;0;False
90;6,772051;32;23;50;0;0;0;0;False
95;6,857145;32;23;50;0;0;0;0;False
100;6,938456;32;23;50;0;0;0;0;False
105;7,022973;32;23;50;0;0;0;0;False
110;7,104719;32;23;50;0;0;0;0;False
115;7,19011;32;23;50;0;0;0;0;False
120;7,272238;32;23;50;0;0;0;0;False
125;7,355849;32;23;50;0;0;0;0;False
130;7,439776;32;23;50;0;0;0;0;False
135;7,521483;32;23;50;0;0;0;0;False
140;7,604786;32;23;50;0;0;0;0;False
145;7,688907;32;23;50;0;0;0;0;False
150;7,773759;32;23;50;0;0;0;0;False
155;7,855768;32;23;50;0;0;0;0;False
160;7,939197;32;23;50;0;0;0;0;False
165;8,023162;32;23;50;0;0;0;0;False
170;8,105854;32;23;50;0;0;0;0;False
175;8,188495;32;23;50;0;0;0;0;False
180;8,273064;32;23;50;0;0;0;0;False
185;8,355462;32;23;50;0;0;0;0;False
190;8,438452;32;23;50;0;0;0;0;False
195;8,52217;32;23;50;0;0;0;0;False
200;8,605888;32;23;50;0;0;0;0;False
205;8,689122;32;23;50;0;0;0;0;False
210;8,772392;32;23;50;0;0;0;0;False
215;8,856636;32;23;50;0;0;0;0;False
220;8,939777;32;23;50;0;0;0;0;False
225;9,022949;32;23;50;0;0;0;0;False
230;9,107764;32;23;50;0;0;0;0;False
235;9,189346;32;23;50;0;0;0;0;False
240;9,273883;32;23;50;0;0;0;0;False
245;9,357316;32;23;50;0;0;0;0;False
250;9,440406;32;23;50;0;0;0;0;False
255;9,524716;32;23;50;0;0;0;0;False
260;9,606165;32;23;50;0;0;0;0;False
265;9,688485;32;23;50;0;0;0;0;False
270;9,773088;32;23;50;0;0;0;0;False
275;9,858678;32;23;50;0;0;0;0;False
280;9,938593;32;23;50;0;0;0;0;False
285;10,02371;32;23;50;0;0;0;0;False
290;10,10495;32;23;50;0;0;0;0;False
295;10,18936;32;23;50;0;0;0;0;False
300;10,27305;32;23;50;0;0;0;0;False
