frame;timestamp;x;y;z;rotX;rotY;rotZ;speed;hasSpringJoint
0;4,392266;22;22,75;50;0;0;0;2,17;False
5;5,776468;22,01;23;49,99;0;0;0;0;False
10;5,87921;22,01;23;49,99;0;0;0;0;False
15;5,96649;22,01;23;49,99;0;0;0;0;False
20;6,050998;22,01;23;49,99;0;0;0;0;False
25;6,134084;22,01;23;49,99;0;0;0;0;False
30;6,217191;22,01;23;49,99;0;0;0;0;False
35;6,301797;22,01;23;49,99;0;0;0;0;False
40;6,385628;22,01;23;49,99;0;0;0;0;False
45;6,471626;22,01;23;49,99;0;0;0;0;False
50;6,554108;22,01;23;49,99;0;0;0;0;False
55;6,637168;22,01;23;49,99;0;0;0;0;False
60;6,722739;22,01;23;49,99;0;0;0;0;False
65;6,804166;22,01;23;49,99;0;0;0;0;False
70;6,890465;22,01;23;49,99;0;0;0;0;False
75;6,972433;22,01;23;49,99;0;0;0;0;False
80;7,055321;22,01;23;49,99;0;0;0;0;False
85;7,13969;22,01;23;49,99;0;0;0;0;False
90;7,221348;22,01;23;49,99;0;0;0;0;False
95;7,305223;22,01;23;49,99;0;0;0;0;False
100;7,39017;22,01;23;49,99;0;0;0;0;False
105;7,472858;22,01;23;49,99;0;0;0;0;False
110;7,554757;22,01;23;49,99;0;0;0;0;False
115;7,639513;22,01;23;49,99;0;0;0;0;False
120;7,721367;22,01;23;49,99;0;0;0;0;False
125;7,807023;22,01;23;49,99;0;0;0;0;False
130;7,888295;22,01;23;49,99;0;0;0;0;False
135;7,970987;22,01;23;49,99;0;0;0;0;False
140;8,053169;22,01;23;49,99;0;0;0;0;False
145;8,138391;22,01;23;49,99;0;0;0;0;False
150;8,221952;22,01;23;49,99;0;0;0;0;False
155;8,306098;22,01;23;49,99;0;0;0;0;False
160;8,388875;22,01;23;49,99;0;0;0;0;False
165;8,472118;22,01;23;49,99;0;0;0;0;False
170;8,55511;22,01;23;49,99;0;0;0;0;False
175;8,638132;22,01;23;49,99;0;0;0;0;False
180;8,721451;22,01;23;49,99;0;0;0;0;False
185;8,805529;22,01;23;49,99;0;0;0;0;False
190;8,888631;22,01;23;49,99;0;0;0;0;False
195;8,972864;22,01;23;49,99;0;0;0;0;False
200;9,055355;22,01;23;49,99;0;0;0;0;False
205;9,139427;22,01;23;49,99;0;0;0;0;False
210;9,222013;22,01;23;49,99;0;0;0;0;False
215;9,305696;22,01;23;49,99;0;0;0;0;False
220;9,389538;22,01;23;49,99;0;0;0;0;False
225;9,471771;22,01;23;49,99;0;0;0;0;False
230;9,554436;22,01;23;49,99;0;0;0;0;False
235;9,638444;22,01;23;49,99;0;0;0;0;False
240;9,720915;22,01;23;49,99;0;0;0;0;False
245;9,80552;22,01;23;49,99;0;0;0;0;False
250;9,887373;22,01;23;49,99;0;0;0;0;False
255;9,972409;22,01;23;49,99;0;0;0;0;False
260;10,05525;22,01;23;49,99;0;0;0;0;False
265;10,13974;22,01;23;49,99;0;0;0;0;False
270;10,22064;22,01;23;49,99;0;0;0;0;False
275;10,30668;22,01;23;49,99;0;0;0;0;False
280;10,39061;22,01;23;49,99;0;0;0;0;False
285;10,47031;22,01;23;49,99;0;0;0;0;False
290;10,55682;22,01;23;49,99;0;0;0;0;False
295;10,63737;22,01;23;49,99;0;0;0;0;False
300;10,7231;22,01;23;49,99;0;0;0;0;False
305;10,80602;22,01;23;49,99;0;0;0;0;False
310;10,8894;22,01;23;49,99;0;0;0;0;False
315;10,97068;22,01;23;49,99;0;0;0;0;False
320;11,05444;22,01;23;49,99;0;0;0;0;False
325;11,13973;22,01;23;49,99;0;0;0;0;False
330;11,2212;22,01;23;49,99;0;0;0;0;False
335;11,30463;22,01;23;49,99;0;0;0;0;False
340;11,38915;22,01;23;49,99;0;0;0;0;False
345;11,47037;22,01;23;49,99;0;0;0;0;False
350;11,55476;22,01;23;49,99;0;0;0;0;False
355;11,63821;22,01;23;49,99;0;0;0;0;False
360;11,72139;22,01;23;49,99;0;0;0;0;False
365;11,80645;22,01;23;49,99;0;0;0;0;False
370;11,88979;22,01;23;49,99;0;0;0;0;False
375;11,97056;22,01;23;49,99;0;0;0;0;False
380;12,05463;22,01;23;49,99;0;0;0;0;False
385;12,14061;22,01;23;49,99;0;0;0;0;False
390;12,22062;22,01;23;49,99;0;0;0;0;False
395;12,30703;22,01;23;49,99;0;0;0;0;False
400;12,38839;22,01;23;49,99;0;0;0;0;False
405;12,47242;22,01;23;49,99;0;0;0;0;False
410;12,55433;22,01;23;49,99;0;0;0;0;False
415;12,63815;22,01;23;49,99;0;0;0;0;False
420;12,72328;22,01;23;49,99;0;0;0;0;False
425;12,80484;22,01;23;49,99;0;0;0;0;False
430;12,88796;22,01;23;49,99;0;0;0;0;False
435;12,97207;22,01;23;49,99;0;0;0;0;False
440;13,05605;22,01;23;49,99;0;0;0;0;False
445;13,13795;22,01;23;49,99;0;0;0;0;False
450;13,2223;22,01;23;49,99;0;0;0;0;False
455;13,30478;22,01;23;49,99;0;0;0;0;False
460;13,38869;22,01;23;49,99;0;0;0;0;False
465;13,47281;22,01;23;49,99;0;0;0;0;False
470;13,55608;22,01;23;49,99;0;0;0;0;False
475;13,63987;22,01;23;49,99;0;0;0;0;False
480;13,72327;22,01;23;49,99;0;0;0;0;False
485;13,80406;22,01;23;49,99;0;0;0;0;False
490;13,88799;22,01;23;49,99;0;0;0;0;False
495;13,97108;22,01;23;49,99;0;0;0;0;False
500;14,05476;22,01;23;49,99;0;0;0;0;False
505;14,13978;22,01;23;49,99;0;0;0;0;False
510;14,22184;22,01;23;49,99;0;0;0;0;False
515;14,3051;22,01;23;49,99;0;0;0;0;False
520;14,38905;22,01;23;49,99;0;0;0;0;False
525;14,47257;22,01;23;49,99;0;0;0;0;False
530;14,5551;22,01;23;49,99;0;0;0;0;False
535;14,63909;22,01;23;49,99;0;0;0;0;False
540;14,72123;22,01;23;49,99;0;0;0;0;False
545;14,80594;22,01;23;49,99;0;0;0;0;False
550;14,88763;22,01;23;49,99;0;0;0;0;False
555;14,97147;22,01;23;49,99;0;0;0;0;False
560;15,05538;22,01;23;49,99;0;0;0;0;False
565;15,1385;22,01;23;49,99;0;0;0;0;False
570;15,2208;22,01;23;49,99;0;0;0;0;False
575;15,30428;22,01;23;49,99;0;0;0;0;False
580;15,38828;22,01;23;49,99;0;0;0;0;False
585;15,47076;22,01;23;49,99;0;0;0;0;False
590;15,55603;22,01;23;49,99;0;0;0;0;False
595;15,63911;22,01;23;49,99;0;0;0;0;False
600;15,72233;22,01;23;49,99;0;0;0;0;False
605;15,80682;22,01;23;49,99;0;0;0;0;False
610;15,889;22,01;23;49,99;0;0;0;0;False
615;15,97104;22,01;23;49,99;0;0;0;0;False
620;16,05392;22,01;23;49,99;0;0;0;0;False
625;16,13819;22,01;23;49,99;0;0;0;0;False
