timestamp;x;y;z;magnitude;hState;vState;isOnSlope;attachedJoint
3,55446;8,981272;3,488813;8,50085;1,1;PlayerIdleState;PlayerFallState;False;none
5,054609;8,981272;2,335852;8,50085;0;PlayerIdleState;PlayerGroundedState;False;none
5,173497;8,981272;2,335852;8,50085;0;PlayerIdleState;PlayerGroundedState;False;none
5,234414;9,007393;2,335852;8,519009;1,6;PlayerMoveState;PlayerGroundedState;False;none
5,287513;9,118638;2,335851;8,595734;3,8;PlayerMoveState;PlayerGroundedState;False;none
5,348932;9,346918;2,335852;8,754148;5,7;PlayerMoveState;PlayerGroundedState;False;none
5,403953;9,610858;2,335852;8,965192;6,5;PlayerMoveState;PlayerGroundedState;False;none
5,476247;9,898699;2,335852;9,398539;7,9;PlayerMoveState;PlayerGroundedState;False;none
5,528579;10,01565;2,335852;9,785484;7,2;PlayerMoveState;PlayerGroundedState;False;none
5,577382;9,989758;2,335852;10,12161;6,8;PlayerMoveState;PlayerGroundedState;False;none
5,631493;9,833622;2,335852;10,43631;6,1;PlayerMoveState;PlayerGroundedState;False;none
5,682003;9,592987;2,335852;10,62912;6,3;PlayerMoveState;PlayerGroundedState;False;none
5,734648;9,25693;2,335852;10,76175;7,4;PlayerMoveState;PlayerGroundedState;False;none
5,792027;8,817064;2,335852;10,84012;8;PlayerMoveState;PlayerGroundedState;False;none
5,844414;8,385634;2,335852;10,80274;8,5;PlayerMoveState;PlayerGroundedState;False;none
5,899535;7,878045;2,985178;10,66549;20,8;PlayerMoveState;PlayerJumpState;False;none
5,953279;7,377941;3,876403;10,45254;18,2;PlayerIdleState;PlayerJumpState;False;none
6,008627;6,900074;4,660688;10,22695;15,7;PlayerIdleState;PlayerJumpState;False;none
6,072095;6,384275;5,399722;9,983465;13,4;PlayerIdleState;PlayerJumpState;False;none
6,12559;5,974103;5,900204;9,789838;11,4;PlayerIdleState;PlayerJumpState;False;none
6,17877;5,581755;6,299569;9,604627;10,3;PlayerIdleState;PlayerJumpState;False;none
6,230705;5,544834;6,333661;9,587197;10,1;PlayerIdleState;PlayerJumpState;False;none
6,280951;5,509302;6,365692;9,570425;10;PlayerIdleState;PlayerJumpState;False;none
6,330446;5,474468;6,396398;9,553983;9,900001;PlayerIdleState;PlayerJumpState;False;none
6,383879;5,437063;6,428535;9,536324;9,7;PlayerIdleState;PlayerJumpState;False;none
6,434784;5,40161;6,458231;9,519588;9,6;PlayerIdleState;PlayerJumpState;False;none
6,492731;5,361472;6,490929;9,50064;9,400001;PlayerIdleState;PlayerJumpState;False;none
6,542426;5,327236;6,518023;9,484479;9,3;PlayerIdleState;PlayerJumpState;False;none
6,590351;5,294377;6,543361;9,468968;9,2;PlayerIdleState;PlayerJumpState;False;none
6,640188;5,26038;6,568834;9,452919;9,1;PlayerIdleState;PlayerJumpState;False;none
6,691188;5,225758;6,594049;9,436575;8,900001;PlayerIdleState;PlayerJumpState;False;none
6,742019;5,191431;6,618264;9,420372;8,8;PlayerIdleState;PlayerJumpState;False;none
