frame;timestamp;x;y;z;speed;hState;vState;isOnSlope;crouchingOn
0;16,84893;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
5;16,93404;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
10;17,01763;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
15;17,10094;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
20;17,18283;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
25;17,26707;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
30;17,34914;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
35;17,43182;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
40;17,51567;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
45;17,59911;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
50;17,68212;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
55;17,76523;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
60;17,8495;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
65;17,93348;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
70;18,01563;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
75;18,09836;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
80;18,18164;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
85;18,26543;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
90;18,34895;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
95;18,43256;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
100;18,51782;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
105;18,60433;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
110;18,70757;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
115;18,79026;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
120;18,87557;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
125;18,95903;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
130;19,03944;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
135;19,12339;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
140;19,20908;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
145;19,29107;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
150;19,37568;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
155;19,45614;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
160;19,53969;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
165;19,62435;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
170;19,70836;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
175;19,79202;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
180;19,87435;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
185;19,95806;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
190;20,04256;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
195;20,12295;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
200;20,20689;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
205;20,29042;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
210;20,37487;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
215;20,4579;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
220;20,54167;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
225;20,62323;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
230;20,70875;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
235;20,78985;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
240;20,87311;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
245;20,95784;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
250;21,04189;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
